filt,kind,param,hold,p_ret,p,is_cagr,is_sharpe,is_maxdd,name,bh,by
,vix_spike,1.05,5,0.23186905728715682,0.9098025090562097,0.004046750659648657,0.14993341259547585,-0.8674497440768423,vix_spike=1.05|H5|Fnan,False,False
,vix_spike,1.05,10,0.03889315146800972,0.05346637013101885,0.06538684396651573,0.3641079752804774,-0.781526735980781,vix_spike=1.05|H10|Fnan,False,False
,vix_spike,1.05,20,0.0616981516859197,0.2258732126632905,0.051415432477833756,0.3175965454236944,-0.8190365331722551,vix_spike=1.05|H20|Fnan,False,False
,vix_spike,1.08,5,0.045033634300708315,0.15239926526879005,0.052831641535623364,0.3342096043700541,-0.7410760358954781,vix_spike=1.08|H5|Fnan,False,False
,vix_spike,1.08,10,0.0158783860554467,0.006635729053244371,0.08942751839678542,0.45182527102692543,-0.7162925616967659,vix_spike=1.08|H10|Fnan,False,False
,vix_spike,1.08,20,0.0785960320421324,0.47810244046787564,0.044758896337864895,0.29575383342015443,-0.8163534619458387,vix_spike=1.08|H20|Fnan,False,False
,vix_spike,1.1,5,0.021151610504492224,0.0637694002980969,0.06437007567294617,0.4040090081809,-0.6282650092887803,vix_spike=1.1|H5|Fnan,False,False
,vix_spike,1.1,10,0.02358823161109913,0.05827416120098083,0.0710584672899679,0.40243801928079054,-0.6543485812997568,vix_spike=1.1|H10|Fnan,False,False
,vix_spike,1.1,20,0.08504673383068406,0.41294520122800865,0.041047525575622856,0.283477132473777,-0.7842762839610652,vix_spike=1.1|H20|Fnan,False,False
,vix_spike,1.12,5,0.0248822161027146,0.078257604705334,0.053094633416370884,0.3809800932567761,-0.4366333698071494,vix_spike=1.12|H5|Fnan,False,False
,vix_spike,1.12,10,0.02800571339211376,0.07364439088802029,0.0647885762920335,0.39472074523834544,-0.5222433179161381,vix_spike=1.12|H10|Fnan,False,False
,vix_spike,1.12,20,0.05584427240912487,0.174542004521682,0.05035201080753571,0.3192158679648455,-0.6862089671295577,vix_spike=1.12|H20|Fnan,False,False
,vix_spike,1.15,5,0.10111534757313632,0.22022860259247717,0.02334283007010396,0.24368118649763712,-0.3906781699604652,vix_spike=1.15|H5|Fnan,False,False
,vix_spike,1.15,10,0.2470136852714971,0.5488608583922397,0.007798091228578663,0.12957261974601186,-0.5280265309980647,vix_spike=1.15|H10|Fnan,False,False
,vix_spike,1.15,20,0.02319529033496274,0.10825270941357512,0.05693251434344759,0.3708294952982853,-0.4316772586946026,vix_spike=1.15|H20|Fnan,False,False
,vix_cross,17.0,5,0.13783548663568085,0.3184827596283648,0.012381575703294567,0.24271446114200232,-0.15952654804373234,vix_cross=17.0|H5|Fnan,False,False
,vix_cross,17.0,10,0.1559699912499763,0.48806984992927527,0.012469329702878174,0.2011458596299774,-0.1707032325139023,vix_cross=17.0|H10|Fnan,False,False
,vix_cross,17.0,20,0.05310716079116677,0.36491662006097536,0.027677099314039832,0.34367788180047887,-0.2894412324257224,vix_cross=17.0|H20|Fnan,False,False
,vix_cross,18.0,5,0.17138892191154104,0.33907621505731234,0.01125897454564595,0.21527551204385012,-0.18243514625368906,vix_cross=18.0|H5|Fnan,False,False
,vix_cross,18.0,10,0.19134117608255563,0.44709366889181856,0.013401636603895373,0.2036891960310375,-0.2500816895210626,vix_cross=18.0|H10|Fnan,False,False
,vix_cross,18.0,20,0.272059300085876,0.66546697912894,0.008569881830187587,0.13412942682618254,-0.31741196862331,vix_cross=18.0|H20|Fnan,False,False
,vix_cross,19.0,5,0.49116094740444805,0.6720517008794704,-0.002278830213069072,0.004657408663292134,-0.3780800976063379,vix_cross=19.0|H5|Fnan,False,False
,vix_cross,19.0,10,0.5658722228663143,0.8028923173839578,-0.007703545274536983,-0.038028500257960354,-0.44781305616507483,vix_cross=19.0|H10|Fnan,False,False
,vix_cross,19.0,20,0.4344118857732907,0.7883420383032556,-0.002981433350050855,0.03382417029825522,-0.46341931381283696,vix_cross=19.0|H20|Fnan,False,False
,vix_cross,20.0,5,0.2925091167826485,0.46048406019067845,0.0056048793166769695,0.1089845585810213,-0.31700920390213516,vix_cross=20.0|H5|Fnan,False,False
,vix_cross,20.0,10,0.3088814676599603,0.5416889071907488,0.006625899563688309,0.11570536244973627,-0.4536770615723775,vix_cross=20.0|H10|Fnan,False,False
,vix_cross,20.0,20,0.30887261029786006,0.6372945008945603,0.005610157330224963,0.1087386050291828,-0.5480106098301637,vix_cross=20.0|H20|Fnan,False,False
,vix_cross,22.0,5,0.7646982634494961,0.8609212576992508,-0.022203900549696787,-0.16336311321408825,-0.5530191183932165,vix_cross=22.0|H5|Fnan,False,False
,vix_cross,22.0,10,0.7011894577147268,0.8723864010984073,-0.025199939863543186,-0.11431384942925643,-0.635696370739857,vix_cross=22.0|H10|Fnan,False,False
,vix_cross,22.0,20,0.7310492960256105,0.9353724685049216,-0.039968757518548115,-0.15087086261744181,-0.8380568903258399,vix_cross=22.0|H20|Fnan,False,False
,vix_cross,25.0,5,0.9759654866327843,0.9901949569136005,-0.059289757212646066,-0.46164601695556756,-0.7869035055788995,vix_cross=25.0|H5|Fnan,False,False
,vix_cross,25.0,10,0.6426975700435076,0.8017177148683788,-0.02454153761830602,-0.07647623966980377,-0.7512413699852116,vix_cross=25.0|H10|Fnan,False,False
,vix_cross,25.0,20,0.5131746861704368,0.7532187402374206,-0.021065402391948096,-0.006993656933932437,-0.7973570686133038,vix_cross=25.0|H20|Fnan,False,False
,rsi2,5.0,5,0.045446618325321056,0.08545083628640401,0.05733096542652083,0.3455294459674733,-0.6832694879480132,rsi2=5.0|H5|Fnan,False,False
,rsi2,5.0,10,0.0845554286001612,0.3508753273270343,0.0428101972347541,0.2891623240133005,-0.7627945984522062,rsi2=5.0|H10|Fnan,False,False
,rsi2,5.0,20,0.07250548721499342,0.3647427364887835,0.0482098750507276,0.30702348862680295,-0.8296390703529309,rsi2=5.0|H20|Fnan,False,False
,rsi2,10.0,5,0.05882842179763881,0.1277580802528135,0.05138171781315237,0.32244462783037053,-0.7245560930648984,rsi2=10.0|H5|Fnan,False,False
,rsi2,10.0,10,0.0698789752303542,0.2296684329717484,0.04959329384627398,0.3121066317759991,-0.7711384239718434,rsi2=10.0|H10|Fnan,False,False
,rsi2,10.0,20,0.07588029328638204,0.4849189115200436,0.04661246439953648,0.3017179660166222,-0.8296390703529309,rsi2=10.0|H20|Fnan,False,False
,rsi2,15.0,5,0.03350263636061023,0.04517432994431553,0.06793360862140285,0.38158380010832993,-0.6995857687896974,rsi2=15.0|H5|Fnan,False,False
,rsi2,15.0,10,0.07055966988325635,0.24341419804342143,0.049393206477577056,0.31136101942390576,-0.7827244689121401,rsi2=15.0|H10|Fnan,False,False
,rsi2,15.0,20,0.07506478634076756,0.5345012241100006,0.0461710391513912,0.30024625641487146,-0.8296390703529309,rsi2=15.0|H20|Fnan,False,False
,rsi2,20.0,5,0.031043498656302043,0.03767260980333109,0.07014269020206387,0.3877192455844986,-0.6953591928443265,rsi2=20.0|H5|Fnan,False,False
,rsi2,20.0,10,0.07348538092999493,0.30127783812284353,0.04760389099857942,0.3052630889982055,-0.7892301969147344,rsi2=20.0|H10|Fnan,False,False
,rsi2,20.0,20,0.06632288819366117,0.17104902458585078,0.05039094820731038,0.3141848706146761,-0.8296390703529307,rsi2=20.0|H20|Fnan,False,False
,down_days,2.0,5,0.026105058129923458,0.037701608546254956,0.0683229553161897,0.3884277831310506,-0.6479799352296767,down_days=2.0|H5|Fnan,False,False
